IPC Code,Description
C12H,"PASTEURISATION, STERILISATION, PRESERVATION, PURIFICATION, CLARIFICATION OR AGEING OF ALCOHOLIC BEVERAGES; METHODS FOR ALTERING THE ALCOHOL CONTENT OF FERMENTED SOLUTIONS OR ALCOHOLIC BEVERAGES (deacidification of wine C12G 1/10 ; preventing winestone precipitation C12G 1/12 ; simulation ageing by flavouring C12G 3/06 ) [6]"
C12J,VINEGAR ; PREPARATION OR PURIFICATION THEREOF
C12L,PITCHING OR DEPITCHING MACHINES; CELLAR TOOLS
C12M,APPARATUS FOR ENZYMOLOGY OR MICROBIOLOGY (installations for fermenting manure A01C 3/02 ; preservation of living parts of humans or animals A01N 1/10 ; brewing apparatus C12C ; fermentation apparatus for wine C12G ; apparatus for preparing vinegar C12J 1/10 ) [3]
C12N,"MICROORGANISMS OR ENZYMES ; COMPOSITIONS THEREOF; PROPAGATING, PRESERVING , OR MAINTAINING MICROORGANISMS ; MUTATION OR GENETIC ENGINEERING ; CULTURE MEDIA (microbiological testing media C12Q 1/00 ) [3]"
C12P,FERMENTATION OR ENZYME-USING PROCESSES TO SYNTHESISE A DESIRED CHEMICAL COMPOUND OR COMPOSITION OR TO SEPARATE OPTICAL ISOMERS FROM A RACEMIC MIXTURE [3]
C12Q,"MEASURING OR TESTING PROCESSES INVOLVING ENZYMES, NUCLEIC ACIDS OR MICROORGANISMS (immunoassay G01N 33/53 ) ; COMPOSITIONS OR TEST PAPERS THEREFOR; PROCESSES OF PREPARING SUCH COMPOSITIONS; CONDITION-RESPONSIVE CONTROL IN MICROBIOLOGICAL OR ENZYMOLOGICAL PROCESSES [3]"
C12R,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES C12C - C12Q , RELATING TO MICROORGANISMS [3]"
C13B,PRODUCTION OF SUCROSE ; APPARATUS SPECIALLY ADAPTED THEREFOR (chemically synthesised sugars or sugar derivatives C07H ; fermentation or enzyme-using processes for preparing compounds containing saccharide radicals C12P 19/00 ) [2011.01]
C14B,"MECHANICAL TREATMENT OR PROCESSING OF SKINS, HIDES , OR LEATHER IN GENERAL; PELT -SHEARING MACHINES; INTESTINE-SPLITTING MACHINES (mechanical cleaning of hides or the like D06G )"
C14C,"TREATING SKINS, HIDES OR LEATHER WITH CHEMICALS, ENZYMES OR MICROORGANISMS, e.g. TANNING , IMPREGNATING OR FINISHING; APPARATUS THEREFOR; COMPOSITIONS FOR TANNING (bleaching  of leather or furs D06L ; dyeing of leather or furs D06P )"
C21B,MANUFACTURE OF IRON OR STEEL (preliminary treatment of ferrous ores or scrap C22B 1/00 )
C21C,"PROCESSING OF PIG-IRON , e.g. REFINING, MANUFACTURE OF WROUGHT-IRON OR STEEL; TREATMENT IN MOLTEN STATE OF FERROUS ALLOYS"
C22B,PRODUCTION OR REFINING OF METALS (making metallic powder or suspensions thereof B22F 9/00 ; production of metals by electrolysis or electrophoresis C25 ) ; PRETREATMENT OF RAW MATERIALS
C22C,"ALLOYS ( treatment of alloys C21D , C22F )"
C22F,CHANGING THE PHYSICAL STRUCTURE OF NON-FERROUS METALS OR NON-FERROUS ALLOYS (processes specific to heat treatment of ferrous alloys or steels and devices for heat treatment of metals or alloys C21D )
C23D,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS"
C23G,CLEANING OR DEGREASING OF METALLIC MATERIAL BY CHEMICAL METHODS OTHER THAN ELECTROLYSIS
C25B,ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON- METALS; APPARATUS THEREFOR (anodic or cathodic protection C23F 13/00 ; single-crystal growth C30B ) [2]
C25C,"PROCESSES FOR THE ELECTROLYTIC PRODUCTION, RECOVERY OR REFINING OF METALS; APPARATUS THEREFOR (anodic or cathodic protection C23F 13/00 ; single-crystal growth C30B ) [2]"
C25D,PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS; ELECTROFORMING (manufacturing printed circuits by metal deposition H05K 3/18 ) ; JOINING WORKPIECES BY ELECTROLYSIS; APPARATUS THEREFOR (anodic or cathodic protection C23F 13/00 ; single-crystal growth C30B ) [6]
C25F,"PROCESSES FOR THE ELECTROLYTIC REMOVAL OF MATERIALS FROM OBJECTS; APPARATUS THEREFOR ( treatment of water, waste water or sewage by electrochemical methods C02F 1/46 ; anodic or cathodic protection C23F 13/00 ) [2]"
C40B,"COMBINATORIAL CHEMISTRY; LIBRARIES , e.g. CHEMICAL LIBRARIES ( in silico combinatorial libraries of nucleic acids, proteins or peptides G16B 35/00 ; in silico combinatorial chemistry G16C 20/60 ) [2006.01]"
C99Z,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [2006.01]
D01B,"MECHANICAL TREATMENT OF NATURAL FIBROUS OR FILAMENTARY MATERIAL TO OBTAIN FIBRES OR FILAMENTS, e.g. FOR SPINNING (crude extraction of asbestos fibres from ores B03B ; apparatus for retting D01C )"
D01D,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF MAN-MADE FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS (working or processing of metal wire B21F ; fibres or filaments of softened glass, minerals or slag C03B 37/00 )"
D01F,"CHEMICAL FEATURES IN THE MANUFACTURE OF MAN-MADE FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS; APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OF CARBON FILAMENTS [2]"
D01G,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING (winding or unwinding, conducting or guiding laps, webs, slivers, or rovings in general, sliver or roving cans, depositing in sliver or roving cans B65H ; preparation of fibres for paper-making D21 )"
D01H,"SPINNING OR TWISTING (twisting oakum D01G 35/00 ; crimping or curling of fibres, filaments, or yarns D02G 1/00 )"
D01C,CHEMICAL OR BIOLOGICAL TREATMENT OF NATURAL FILAMENTARY OR FIBROUS MATERIAL TO OBTAIN FILAMENTS OR FIBRES FOR SPINNING; CARBONISING RAGS TO RECOVER ANIMAL FIBRES
D02H,"WARPING, BEAMING, OR LEASING"
D02G,"CRIMPING OR CURLING FIBRES, FILAMENTS, YARNS, OR THREADS; YARNS OR THREADS"
D03C,SHEDDING MECHANISMS; PATTERN CARDS OR CHAINS; PUNCHING OF CARDS; DESIGNING PATTERNS
D03D,WOVEN FABRICS; METHODS OF WEAVING; LOOMS
D03J,WOVEN FABRICS; METHODS OF WEAVING; LOOMS
D04B,KNITTING
D04C,KNITTING
D04D,"TRIMMINGS; RIBBONS, TAPES, OR BANDS, NOT OTHERWISE PROVIDED FOR (fittings or trimmings for hats, e.g. hat bands, A42C 5/00 ; decorating art B44 ; yarns or threads D02G ; weaving D03 ; braid or lace D04C ; non-woven fabrics D04H )"
D04G,MAKING NETS BY KNOTTING OF FILAMENTARY MATERIAL ; MAKING KNOTTED CARPETS OR TAPESTRIES; KNOTTING NOT OTHERWISE PROVIDED FOR (binding knotters for harvesters A01D 59/04 ; wire netting B21F ; tying articles by knotting B65B ; knotting in association with winding or unwinding B65H 69/00 ; knotting in weaving D03J )
D04H,Needling machines [2012.01]
D05B,SEWING (appliances for the tailoring trade A41H ; sewing tables A47B 29/00 ; sewing in bookbinding B42B 2/00 ; sewing machines modified for knitting D04B 39/08 )
D05C,"EMBROIDERING (programme- controlled sewing machines with embroidering capability D05B 19/00 , D05B 21/00 ) ; TUFTING (making non-woven fabrics D04H ; sewing D05B )"
D06B,"TREATING TEXTILE MATERIALS USING LIQUIDS, GASES OR VAPOURS (mechanical treatment of natural fibrous or filamentary material to obtain fibres or filaments D01B ) [2]"
D06C,"FINISHING, DRESSING, TENTERING OR STRETCHING TEXTILE FABRICS [2]"
D06F,"LAUNDERING, DRYING, IRONING, PRESSING OR FOLDING TEXTILE ARTICLES"
D06G,"MECHANICAL OR PRESSURE CLEANING OF CARPETS, RUGS, SACKS, HIDES, OR OTHER SKIN OR TEXTILE ARTICLES OR FABRICS; TURNING INSIDE-OUT FLEXIBLE TUBULAR OR OTHER HOLLOW ARTICLES"
D06H,"MARKING, INSPECTING, SEAMING OR SEVERING TEXTILE MATERIALS (seaming by sewing D05B )"
D06J,"PLEATING, KILTING OR GOFFERING TEXTILE FABRICS OR WEARING APPAREL (by sewing D05B )"
D06L,"DRY-CLEANING, WASHING OR BLEACHING FIBRES , FILAMENTS , THREADS , YARNS , FABRICS , FEATHERS OR MADE-UP FIBROUS GOODS; BLEACHING LEATHER OR FURS"
D06M,"TREATMENT , NOT PROVIDED FOR ELSEWHERE IN CLASS D06 , OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS OR FIBROUS GOODS MADE FROM SUCH MATERIALS"
D06N,"WALL, FLOOR, OR LIKE COVERING MATERIALS , e.g. LINOLEUM, OILCLOTH, ARTIFICIAL LEATHER, ROOFING FELT, CONSISTING OF A FIBROUS WEB COATED WITH A LAYER OF MACROMOLECULAR MATERIAL ; FLEXIBLE SHEET MATERIAL NOT OTHERWISE PROVIDED FOR"
D06P,"DYEING OR PRINTING TEXTILES; DYEING LEATHER, FURS OR SOLID MACROMOLECULAR SUBSTANCES IN ANY FORM"
D06Q,"DECORATING TEXTILES (textile threads, filaments, yarns or tow, glued on macromolecular material D06N 7/00 ) [5]"
D07B,Manufacture of ropes or cables
D21B,FIBROUS RAW MATERIALS OR THEIR MECHANICAL TREATMENT
D21C,PRODUCTION OF CELLULOSE BY REMOVING NON- CELLULOSE SUBSTANCES FROM CELLULOSE - CONTAINING MATERIALS ; REGENERATION OF PULPING LIQUORS; APPARATUS THEREFOR
D21D,TREATMENT OF THE MATERIALS BEFORE PASSING TO THE PAPER-MAKING MACHINE [5]
D21F,PAPER-MAKING MACHINES; METHODS OF PRODUCING PAPER THEREON
D21G,PAPER-MAKING MACHINES; METHODS OF PRODUCING PAPER THEREON
D21H,"PULP COMPOSITIONS; PREPARATION THEREOF NOT COVERED BY SUBCLASSES D21C , D21D ; IMPREGNATING OR COATING OF PAPER; TREATMENT OF FINISHED PAPER NOT COVERED BY CLASS B31 OR SUBCLASS D21G ; PAPER NOT OTHERWISE PROVIDED FOR [5]"
D21J,FIBREBOARD; MANUFACTURE OF ARTICLES FROM CELLULOSIC FIBROUS SUSPENSIONS OR FROM PAPIER-MÂCHÉ (manufacture of articles by dry processes B27N )
D99Z,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [2006.01]
E01B,"PERMANENT WAY; PERMANENT-WAY TOOLS; MACHINES FOR MAKING RAILWAYS OF ALL KINDS (derailing or rerailing blocks on track, track brakes or retarders B61K ; removal of foreign matter from the permanent way, vegetation control , applying liquids E01H )"
E01C,"CONSTRUCTION OF, OR SURFACES FOR, ROADS, SPORTS GROUNDS, OR THE LIKE; MACHINES OR AUXILIARY TOOLS FOR CONSTRUCTION OR REPAIR (forming road or like surfaces by compacting or grading snow or ice E01H )"
E01D,BRIDGES (bridges extending between terminal buildings and aircraft for embarking or disembarking passengers B64F 1/305 )
E01F,"ADDITIONAL WORK, SUCH AS EQUIPPING ROADS OR THE CONSTRUCTION OF PLATFORMS, HELICOPTER LANDING STAGES, SIGNS, SNOW FENCES, OR THE LIKE"
E01H,"STREET CLEANING; CLEANING OF PERMANENT WAYS; CLEANING BEACHES; CLEANING LAND; DISPERSING FOG IN GENERAL (mowers convertible to apparatus for sweeping or cleaning lawns or other surfaces, e.g. to remove snow, or capable of sweeping or cleaning lawns or other surfaces A01D 42/06 ; cleaning in general B08B ) [4]"
E02B,HYDRAULIC ENGINEERING (ship-lifting E02C ; dredging E02F )
E02C,SHIP-LIFTING DEVICES OR MECHANISMS
E02D,FOUNDATIONS; EXCAVATIONS; EMBANKMENTS (specially adapted for hydraulic engineering E02B ) ; UNDERGROUND OR UNDERWATER STRUCTURES [6]
E02F,DREDGING; SOIL-SHIFTING (winning peat E21C 49/00 )
E03B,"INSTALLATIONS OR METHODS FOR OBTAINING, COLLECTING, OR DISTRIBUTING WATER (drilling wells, obtaining fluids in general from wells E21B ; pipe-line systems in general F17D )"
E03C,"DOMESTIC PLUMBING INSTALLATIONS FOR FRESH WATER OR WASTE WATER (not connected to either water-supply main or to waste pipe A47K ; devices of the kind used in the ground E03B , E03F ) ; SINKS"
E03D,WATER-CLOSETS OR URINALS WITH FLUSHING DEVICES; FLUSHING VALVES THEREFOR
E03F,SEWERS; CESSPOOLS
E04B,"GENERAL BUILDING CONSTRUCTIONS; WALLS, e.g. PARTITIONS; ROOFS; FLOORS; CEILINGS; INSULATION OR OTHER PROTECTION OF BUILDINGS (border constructions of openings in walls, floors, or ceilings E06B 1/00 )"
E04C,"STRUCTURAL ELEMENTS; BUILDING MATERIALS (for bridges E01D ; specially designed for insulation or other protection E04B ; elements used as building aids E04G ; for mining E21 ; for tunnels E21D ; structural elements with broader range of application than for building engineering F16 , particularly F16S )"
E04D,ROOF COVERINGS; SKY-LIGHTS; GUTTERS; ROOF-WORKING TOOLS (coverings of outer walls by plaster or other porous material E04F 13/00 )
E04F,"FINISHING WORK ON BUILDINGS, e.g. STAIRS, FLOORS (windows, doors E06B )"
E04G,"SCAFFOLDING; FORMS; SHUTTERING; BUILDING IMPLEMENTS OR AIDS, OR THEIR USE ; HANDLING BUILDING MATERIALS ON THE SITE; REPAIRING, BREAKING-UP OR OTHER WORK ON EXISTING BUILDINGS"
E04H,"BUILDINGS OR LIKE STRUCTURES FOR PARTICULAR PURPOSES; SWIMMING OR SPLASH BATHS OR POOLS; MASTS; FENCING; TENTS OR CANOPIES, IN GENERAL (foundations E02D ) [4]"
E05B,LOCKS; ACCESSORIES THEREFOR; HANDCUFFS
E05C,"BOLTS OR FASTENING DEVICES FOR WINGS, SPECIALLY FOR DOORS OR WINDOWS (latching means for sideboard or tailgate structures for vehicles B62D 33/037 ; fastening devices for constructional or engineering elements E04 , F16B ; locks, fastening devices structurally or operatively combined or having significant cooperation with locks E05B ; means for operating or controlling wing fasteners in conjunction with mechanisms for moving the wing E05F )"
E05D,"HINGES OR SUSPENSION DEVICES FOR DOORS, WINDOWS OR WINGS (pivotal connections in general F16C 11/00 )"
E05F,"DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION; CHECKS FOR WINGS; WING FITTINGS NOT OTHERWISE PROVIDED FOR, CONCERNED WITH THE FUNCTIONING OF THE WING"
E05G,SAFES OR STRONG-ROOMS FOR VALUABLES; BANK PROTECTION DEVICES; SAFETY TRANSACTION PARTITIONS (alarm arrangements per se G08B ) [2]
E06B,"FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES, OR LIKE ENCLOSURES, IN GENERAL, e.g. DOORS, WINDOWS, BLINDS, GATES (shades or blinds for greenhouses A01G 9/22 ; curtains A47H ; lids for car boots or bonnets B62D 25/10 ; sky-lights E04B 7/18 ; sunshades, awnings E04F 10/00 )"
E06C,"LADDERS ( E04F 11/00 takes precedence; step-stools A47C 12/00 ; adaptation of ladders to use on ships B63B , to use on aircraft B64 ; scaffolding E04G ) [6]"
E21B,"EARTH OR ROCK DRILLING; OBTAINING OIL, GAS, WATER, SOLUBLE OR MELTABLE MATERIALS OR A SLURRY OF MINERALS FROM WELLS [5]"
E21C,MINING OR QUARRYING
E21D,"SHAFTS; TUNNELS; GALLERIES; LARGE UNDERGROUND CHAMBERS (soil-conditioning or soil-stabilising materials C09K 17/00 ; cutting machines for mining or quarrying E21C ; safety devices, transport, rescue, ventilation or drainage E21F ) [6]"
E21F,"SAFETY DEVICES, TRANSPORT, FILLING-UP, RESCUE, VENTILATION, OR DRAINAGE IN OR OF MINES OR TUNNELS [2]"
E99Z,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [2006.01]
F01C,"ROTARY-PISTON OR OSCILLATING-PISTON MACHINES OR ENGINES (combustion engines F02 ; internal-combustion aspects F02B 53/00 , F02B 55/00 ; machines for liquids F03 , F04 )"
F01D,"NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES , e.g. STEAM TURBINES (combustion engines F02 ; machines or engines for liquids F03 , F04 ; non-positive-displacement pumps F04D )"
F01L,CYCLICALLY OPERATING VALVES FOR MACHINES OR ENGINES
F01M,LUBRICATING OF MACHINES OR ENGINES IN GENERAL; LUBRICATING INTERNAL-COMBUSTION ENGINES ; CRANKCASE VENTILATING [2]
F01P,"COOLING OF MACHINES OR ENGINES IN GENERAL; COOLING OF INTERNAL-COMBUSTION ENGINES (arrangements in connection with cooling of propulsion units in vehicles B60K 11/00 ; heat-transfer, heat-exchange or heat-storage materials C09K 5/00 ; heat-exchange in general, radiators F28 )"
F01N,Subject matter not provided for in other groups of this subclass [2010.01]
F02B,INTERNAL-COMBUSTION PISTON ENGINES ; COMBUSTION ENGINES IN GENERAL (gas-turbine plants F02C ; hot-gas or combustion- product positive-displacement engine plants F02G )
F02D,"CONTROLLING COMBUSTION ENGINES (vehicle fittings, acting on a single sub-unit only, for automatically controlling vehicle speed B60K 31/00 ; conjoint control of vehicle sub-units of different type or different function, road vehicle drive control systems for purposes other than the control of a single sub-unit B60W ) [2006.01]"
F02F,"CYLINDERS, PISTONS, OR CASINGS FOR COMBUSTION ENGINES ; ARRANGEMENTS OF SEALINGS IN COMBUSTION ENGINES [2]"
F02M,SUPPLYING COMBUSTION ENGINES IN GENERAL WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF
F02N,"STARTING OF COMBUSTION ENGINES ; STARTING AIDS FOR SUCH ENGINES , NOT OTHERWISE PROVIDED FOR"
F02K,Subject matter not provided for in other groups of this subclass [2009.01]
F02P,Other ignition
F03B,MACHINES OR ENGINES FOR LIQUIDS (machines or engines for liquids and elastic fluids F01 ; positive-displacement engines for liquids F03C ; positive-displacement machines for liquids F04 )
F03C,POSITIVE-DISPLACEMENT ENGINES DRIVEN BY LIQUIDS (positive-displacement engines for liquids and elastic fluids F01 ; positive-displacement machines for liquids F04 ; fluid -pressure actuators F15B ; fluid gearing F16H )
F03D,WIND MOTORS
F03G,"SPRING, WEIGHT, INERTIA, OR LIKE MOTORS ; MECHANICAL-POWER-PRODUCING DEVICES OR MECHANISMS, NOT OTHERWISE PROVIDED FOR OR USING ENERGY SOURCES NOT OTHERWISE PROVIDED FOR (arrangements in connection with power supply in vehicles from force of nature B60K 16/00 ; electric propulsion with power supply in vehicles from force of nature B60L 8/00 )"
F03H,"PRODUCING A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR (from combustion products F02K )"
F04B,"POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS; PUMPS (machines for liquids, or pumps, of rotary-piston or oscillating-piston type F04C ; non-positive-displacement pumps F04D ; pumping of fluid by direct contact of another fluid or by using inertia of fluid to be pumped F04F )"
F04C,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS ( engines driven by liquids F03C ) ; ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS ( engine fuel-injection pumps F02M )"
F04D,NON-POSITIVE-DISPLACEMENT PUMPS ( engine fuel-injection pumps F02M ; ion pumps H01J 41/12 ; electrodynamic pumps H02K 44/02 )
F04F,PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED (containers or packages with special means for dispensing liquid or semi-liquid contents by internal gaseous pressure B65D 83/14 ) ; SIPHONS [2]
F15B,"SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL; FLUID -PRESSURE ACTUATORS, e.g. SERVOMOTORS; DETAILS OF FLUID -PRESSURE SYSTEMS, NOT OTHERWISE PROVIDED FOR"
F15C,"FLUID -CIRCUIT ELEMENTS PREDOMINANTLY USED FOR COMPUTING OR CONTROL PURPOSES (transducers F15B 5/00 ; fluid dynamics in general F15D ; computers comprising fluid elements G06D , G06G )"
F15D,"FLUID DYNAMICS, i.e. METHODS OR MEANS FOR INFLUENCING THE FLOW OF GASES OR LIQUIDS"
F16B,"DEVICES FOR FASTENING OR SECURING CONSTRUCTIONAL ELEMENTS OR MACHINE PARTS TOGETHER, e.g. NAILS, BOLTS, CIRCLIPS, CLAMPS, CLIPS OR WEDGES; JOINTS OR JOINTING (couplings for transmitting rotation F16D )"
F16C,"SHAFTS ; FLEXIBLE SHAFTS ; MECHANICAL MEANS FOR TRANSMITTING MOVEMENT IN A FLEXIBLE SHEATHING; ELEMENTS OF CRANKSHAFT MECHANISMS; PIVOTS; PIVOTAL CONNECTIONS; ROTARY ENGINEERING ELEMENTS OTHER THAN GEARING , COUPLING, CLUTCH OR BRAKE ELEMENTS; BEARINGS [5]"
F16F,SPRINGS; SHOCK-ABSORBERS; MEANS FOR DAMPING VIBRATION
F16G,"BELTS, CABLES, OR ROPES, PREDOMINANTLY USED FOR DRIVING PURPOSES; CHAINS; FITTINGS PREDOMINANTLY USED THEREFOR"
F16H,GEARING
F16J,PISTONS; CYLINDERS; PRESSURE VESSELS IN GENERAL; SEALINGS
F16K,VALVES; TAPS; COCKS; ACTUATING-FLOATS; DEVICES FOR VENTING OR AERATING
F16L,"PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES, CABLES OR PROTECTIVE TUBING; MEANS FOR THERMAL INSULATION IN GENERAL"
F16M,"FRAMES, CASINGS OR BEDS OF ENGINES , MACHINES OR APPARATUS , NOT SPECIFIC TO ENGINES , MACHINES OR APPARATUS PROVIDED FOR ELSEWHERE; STANDS; SUPPORTS"
F16N,LUBRICATING
F16P,SAFETY DEVICES IN GENERAL
F16S,"CONSTRUCTIONAL ELEMENTS IN GENERAL; STRUCTURES BUILT-UP FROM SUCH ELEMENTS, IN GENERAL"
F16T,STEAM TRAPS OR LIKE APPARATUS FOR DRAINING-OFF LIQUIDS FROM ENCLOSURES PREDOMINANTLY CONTAINING GASES OR VAPOURS
F17C,"VESSELS FOR CONTAINING OR STORING COMPRESSED, LIQUEFIED, OR SOLIDIFIED GASES; FIXED-CAPACITY GAS-HOLDERS; FILLING VESSELS WITH, OR DISCHARGING FROM VESSELS, COMPRESSED, LIQUEFIED, OR SOLIDIFIED GASES (storing fluids in natural or artificial cavities or chambers in the earth B65G 5/00 ; construction or assembling of bulk storage containers employing civil-engineering techniques E04H 7/00 ; variable -capacity gas-holders F17B ; liquefaction or refrigeration machines, plants , or systems F25 )"
F17D,"PIPE-LINE SYSTEMS; PIPE-LINES (distributing water E03B ; pumps or compressors F04 ; fluid dynamics F15D ; valves or the like F16K ; pipes, laying pipes, supports, joints, branches, repairing, work on the entire line, accessories F16L ; steam traps or the like F16T ; fluid -pressure electric cables H01B 9/06 )"
F21H,INCANDESCENT MANTLES ; OTHER INCANDESCENT BODIES HEATED BY COMBUSTION
F21K,NON-ELECTRIC LIGHT SOURCES USING LUMINESCENCE; LIGHT SOURCES USING ELECTROCHEMILUMINESCENCE; LIGHT SOURCES USING CHARGES OF COMBUSTIBLE MATERIAL ; LIGHT SOURCES USING SEMICONDUCTOR DEVICES AS LIGHT-GENERATING ELEMENTS; LIGHT SOURCES NOT OTHERWISE PROVIDED FOR
F21L,"LIGHTING DEVICES OR SYSTEMS THEREOF, BEING PORTABLE OR SPECIALLY ADAPTED FOR TRANSPORTATION [7]"
F21S,NON-PORTABLE LIGHTING DEVICES; SYSTEMS THEREOF; VEHICLE LIGHTING DEVICES SPECIALLY ADAPTED FOR VEHICLE EXTERIORS [7]
F21V,"FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF; STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES, NOT OTHERWISE PROVIDED FOR [7]"
F21W,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES F21K , F21L , F21S and F21V , RELATING TO USES OR APPLICATIONS OF LIGHTING DEVICES OR SYSTEMS [7]"
F21Y,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES F21K , F21L , F21S and F21V , RELATING TO THE FORM OR THE KIND OF THE LIGHT SOURCES OR OF THE COLOUR OF THE LIGHT EMITTED [7]"
F22B,METHODS OF STEAM GENERATION; STEAM BOILERS
F22D,METHODS OF STEAM GENERATION; STEAM BOILERS
F22G,SUPERHEATING OF STEAM
F23C,METHODS OR APPARATUS FOR COMBUSTION USING FLUID FUEL OR SOLID FUEL SUSPENDED IN AIR ( burners F23D )
F23D,BURNERS
F23G,CREMATION FURNACES; CONSUMING WASTE OR LOW GRADE FUELS BY COMBUSTION
F23H,GRATES (inlets for fluidisation air for fluidised bed combustion apparatus F23C 10/20 ) ; CLEANING OR RAKING GRATES
F23J,"REMOVAL OR TREATMENT OF COMBUSTION PRODUCTS OR COMBUSTION RESIDUES; FLUES (combustion apparatus for consuming smoke or fumes, e.g. exhaust gases, F23G 7/06 )"
F23K,FEEDING FUEL TO COMBUSTION APPARATUS (fuel feeders specially adapted for fluidised bed combustion apparatus F23C 10/22 )
F23M,"CASINGS, LININGS, WALLS OR DOORS SPECIALLY ADAPTED FOR COMBUSTION CHAMBERS , e.g. FIREBRIDGES ; DEVICES FOR DEFLECTING AIR , FLAMES OR COMBUSTION PRODUCTS IN COMBUSTION CHAMBERS ; SAFETY ARRANGEMENTS SPECIALLY ADAPTED FOR COMBUSTION APPARATUS ; DETAILS OF COMBUSTION CHAMBERS , NOT OTHERWISE PROVIDED FOR"
F23N,REGULATING OR CONTROLLING COMBUSTION ( control devices specially adapted for combustion apparatus in which combustion takes place in a fluidised bed of fuel or other particles F23C 10/28 ; condition responsive controls for regulating combustion in domestic stoves with open fires for solid fuel F24B 1/187 )
F23Q,IGNITION (devices for igniting matches A24F ; chemical igniters C06C 9/00 ) ; EXTINGUISHING DEVICES
F23R,"GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY, e.g. GAS-TURBINE COMBUSTION CHAMBERS (fluidised bed combustion apparatus specially adapted for operation at superatmospheric pressures F23C 10/16 )"
F23L,Subject matter not provided for in other groups of this subclass [2006.01]
F24B,"DOMESTIC STOVES OR RANGES FOR SOLID FUELS (for solid fuels in combination with gaseous fuels, liquid fuels or other kinds of energy supply F24C 1/02 ) ; IMPLEMENTS FOR USE IN CONNECTION WITH STOVES OR RANGES [6]"
F24C,"DOMESTIC STOVES OR RANGES (exclusively for solid fuels F24B ) ; DETAILS OF DOMESTIC STOVES OR RANGES, OF GENERAL APPLICATION"
F24D,"DOMESTIC- OR SPACE-HEATING SYSTEMS, e.g. CENTRAL HEATING SYSTEMS; DOMESTIC HOT-WATER SUPPLY SYSTEMS; ELEMENTS OR COMPONENTS THEREFOR (using steam or condensate extracted or exhausted from steam engine plants for heating purposes F01K 17/02 )"
F24F,"AIR-CONDITIONING ; AIR-HUMIDIFICATION; VENTILATION ; USE OF AIR CURRENTS FOR SCREENING (removing dirt or fumes from areas where they are produced B08B 15/00 ; vertical ducts for carrying away waste gases from buildings E04F 17/02 ; tops for chimneys or ventilating shafts, terminals for flues F23L 17/02 )"
F24H,"FLUID HEATERS, e.g. WATER OR AIR HEATERS, HAVING HEAT-GENERATING MEANS, e.g. HEAT PUMPS, IN GENERAL (steam generation F22 )"
F24S,SOLAR HEAT COLLECTORS; SOLAR HEAT SYSTEMS (for producing mechanical power from solar energy F03G 6/00 ) [2018.01]
F24T,GEOTHERMAL COLLECTORS; GEOTHERMAL SYSTEMS [2018.01]
F24V,"COLLECTION, PRODUCTION OR USE OF HEAT NOT OTHERWISE PROVIDED FOR [2018.01]"
F25B,"REFRIGERATION MACHINES, PLANTS OR SYSTEMS; COMBINED HEATING AND REFRIGERATION SYSTEMS; HEAT PUMP SYSTEMS"
F25C,"PRODUCING, WORKING OR HANDLING ICE [2]"
